VsoId	ExpectedIds	ActualIds
24576043	Wavelength/01573826 GTT/001815380 GTT/001815636	MFSA5/WAVE/U/121929, MFSA5/WAVE/U/121930, MFSA5/WAVE/U/121932
17432619	BKK/CAT-SNG 100G2843ET	BKK/CAT-SNG 100G2843ET
17850413	14209371 14209360	14209371, 14209360
22921267	SR164498 / SNG(PCG)-MSL(PCG) EP6000 / SR164499 / MSL(PCG)-SNG(PCG) EP6001 /	SR171502 / SNG(PCG)-MRS(PCG) EP6227 / SR186730 / SNG(PCG)-MSL(PCG) EP6664 / Interxion CCT ID: FR179145-1 – Customer ordered SR184688 / SNG(PCG)-MSL(PCG) EP6663 / Interxion CCT ID: FR179145-2 – Customer ordered
19308597	SR164498 SR164499	SR164498 / SNG(PCG)-MSL(PCG) EP6000 /, SR164499 / MSL(PCG)-SNG(PCG) EP6001 /
17850426	12932920 13555731 13559225 13559226 13559227 13559223	12932920,13555731,13559225,13559226,13559227,13559223
17432635	IPL004488	IPL004488
